year,week,province,disease,cases
2022,39,74,copd,5
2020,42,11,asthma,58
2018,13,10,asthma,1
2019,40,10,ihd,108
2020,26,12,copd,206
2018,48,74,ihd,15
2020,8,11,ihd,47
2019,23,13,ihd,39
2020,35,13,asthma,47
2022,49,73,copd,26
2020,52,10,asthma,27
2018,6,12,asthma,14
2019,51,13,copd,211
2019,33,12,ihd,53
2018,16,11,asthma,44
2021,7,73,asthma,28
2020,36,11,copd,37
2018,7,10,copd,159
2022,24,74,ihd,22
2020,18,10,ihd,100
2022,34,73,ihd,19
2022,52,74,copd,45
2020,23,73,copd,140
2018,26,10,asthma,6
2018,9,13,asthma,26
2019,43,11,ihd,57
2020,32,74,asthma,51
2022,2,10,asthma,34
2020,42,73,asthma,28
2019,48,74,copd,6
2021,17,12,asthma,2
2021,18,10,copd,318
2021,27,11,asthma,20
2018,6,74,asthma,8
2020,8,73,ihd,49
2021,1,13,copd,165
2022,44,12,ihd,68
2020,26,74,copd,127
2022,52,10,asthma,1
2021,37,10,asthma,8
2021,20,13,asthma,23
2018,16,73,asthma,10
2021,11,12,copd,170
2020,36,73,copd,39
2022,5,11,asthma,4
2019,33,74,ihd,9
2021,30,12,asthma,19
2019,1,11,asthma,34
2020,18,12,ihd,9
2021,21,11,copd,158
2022,47,13,ihd,36
2021,3,10,ihd,150
2019,43,73,ihd,42
2020,36,13,copd,117
2019,11,10,asthma,36
2020,46,12,copd,66
2020,28,11,ihd,34
2021,17,74,asthma,1
2018,26,12,asthma,1
2018,36,11,asthma,2
2021,53,10,ihd,28
2020,38,10,ihd,184
2018,27,10,copd,129
2018,10,13,copd,157
2021,27,73,asthma,3
2019,4,12,asthma,33
2022,44,74,ihd,10
2020,21,13,ihd,33
2018,29,13,asthma,50
2018,20,12,copd,150
2018,46,10,asthma,72
2020,49,13,copd,17
2021,11,74,copd,137
2019,5,10,copd,657
2018,2,11,ihd,38
2022,5,73,asthma,9
2020,31,12,ihd,33
2019,1,73,asthma,35
2022,5,13,asthma,31
2022,22,10,asthma,27
2018,30,11,copd,163
2021,30,74,asthma,6
2021,21,73,copd,117
2020,18,74,ihd,2
2018,12,10,ihd,28
2020,28,73,ihd,38
2022,6,11,copd,241
2018,5,12,ihd,21
2022,15,12,asthma,8
2020,46,74,copd,139
2021,40,13,asthma,11
2018,36,73,asthma,5
2022,25,11,asthma,40
2019,4,74,asthma,11
2021,31,12,copd,187
2021,13,11,ihd,30
2022,16,10,copd,593
2021,6,13,ihd,39
2018,2,73,ihd,138
2018,20,74,copd,127
2022,35,10,asthma,31
2022,9,12,copd,22
2021,50,12,asthma,60
2020,31,74,ihd,6
2021,41,11,copd,181
2021,23,10,ihd,168
2019,31,10,asthma,26
2018,30,73,copd,291
2019,5,12,copd,67
2021,34,13,copd,150
2019,14,13,asthma,27
2021,16,12,ihd,83
2021,51,10,copd,584
2022,6,73,copd,240
2020,41,13,ihd,39
2019,15,11,copd,179
2018,5,74,ihd,8
2020,9,10,asthma,45
2021,26,11,ihd,16
2019,24,12,asthma,15
2022,25,73,asthma,38
2021,31,74,copd,109
2018,40,12,copd,313
2019,25,10,copd,641
2019,34,11,asthma,71
2021,13,73,ihd,21
2020,51,12,ihd,21
2019,8,13,copd,191
2018,22,11,ihd,15
2018,49,13,asthma,45
2018,50,11,copd,190
2019,44,10,asthma,21
2021,50,74,asthma,8
2018,32,10,ihd,24
2021,41,73,copd,142
2018,15,13,ihd,24
2022,9,74,copd,18
2019,18,12,copd,139
2019,5,74,copd,36
2018,25,12,ihd,49
2018,43,13,copd,141
2021,16,74,ihd,17
2022,26,11,copd,59
2022,35,12,asthma,25
2021,26,73,ihd,13
2022,1,12,ihd,58
2022,45,11,asthma,41
2019,24,74,asthma,3
2022,36,10,copd,496
2022,19,13,copd,168
2018,35,11,ihd,4
2019,15,73,copd,166
2022,11,11,ihd,70
2021,26,13,ihd,8
2022,29,12,copd,179
2018,22,73,ihd,11
2020,51,74,ihd,17
2019,34,73,asthma,6
2022,38,13,asthma,28
2018,40,74,copd,145
2020,9,12,asthma,1
2019,18,74,copd,84
2022,48,12,asthma,21
2022,39,11,copd,226
2020,10,10,copd,619
2022,4,13,ihd,44
2021,36,12,ihd,11
2020,19,11,asthma,26
2018,50,73,copd,194
2022,21,10,ihd,204
2020,3,12,copd,215
2022,26,73,copd,50
2020,12,13,asthma,39
2019,44,12,asthma,1
2021,46,11,ihd,75
2019,35,11,copd,11
2020,29,10,asthma,21
2022,35,74,asthma,6
2018,25,74,ihd,11
2018,35,73,ihd,25
2021,39,13,ihd,4
2019,45,10,copd,579
2019,10,12,ihd,59
2020,22,12,asthma,50
2022,1,74,ihd,11
2022,45,73,asthma,13
2019,28,13,copd,166
2020,13,11,copd,166
2018,3,10,asthma,6
2019,38,12,copd,203
2022,29,74,copd,130
2020,9,74,asthma,2
2022,11,73,ihd,48
2019,20,11,ihd,54
2019,47,13,asthma,34
2022,48,74,asthma,5
2022,39,73,copd,128
2019,48,11,copd,233
2019,13,13,ihd,30
2018,45,12,ihd,77
2020,19,73,asthma,33
2021,36,74,ihd,9
2019,30,10,ihd,147
2022,39,13,copd,6
2019,35,73,copd,9
2019,44,74,asthma,2
2020,3,74,copd,111
2021,46,73,ihd,44
2022,49,12,copd,78
2022,31,11,ihd,61
2020,13,73,copd,286
2021,14,10,asthma,31
2020,22,74,asthma,10
2018,48,13,ihd,14
2019,10,74,ihd,11
2021,7,12,asthma,52
2022,24,13,ihd,50
2022,41,10,ihd,139
2019,20,73,ihd,173
2019,38,74,copd,143
2020,49,10,asthma,19
2022,34,12,ihd,66
2019,48,73,copd,263
2018,45,74,ihd,16
2021,8,10,copd,387
2021,17,11,asthma,43
2022,52,13,copd,82
2020,23,12,copd,165
2020,32,13,asthma,50
2020,5,11,ihd,4
2022,44,11,ihd,16
2018,13,11,asthma,3
2020,42,12,asthma,8
2020,15,10,ihd,123
2020,33,11,copd,197
2019,48,13,copd,5
2020,43,10,copd,549
2020,52,11,asthma,51
2020,8,12,ihd,83
2020,26,13,copd,168
2022,31,73,ihd,42
2018,23,10,asthma,11
2019,40,11,ihd,40
2018,6,13,asthma,44
2022,49,74,copd,99
2020,36,12,copd,60
2019,33,13,ihd,19
2018,16,12,asthma,9
2018,7,11,copd,214
2020,18,11,ihd,31
2021,7,74,asthma,9
2019,50,10,ihd,115
2021,17,73,asthma,9
2020,5,73,ihd,3
2018,26,11,asthma,76
2020,23,74,copd,94
2019,43,12,ihd,48
2018,17,10,copd,149
2022,34,74,ihd,9
2022,44,73,ihd,12
2021,17,13,asthma,1
2020,42,74,asthma,4
2022,2,11,asthma,50
2020,33,73,copd,166
2019,40,73,ihd,36
2021,27,12,asthma,47
2020,8,74,ihd,10
2021,18,11,copd,147
2022,12,10,asthma,35
2022,44,13,ihd,27
2020,52,73,asthma,32
2020,36,74,copd,19
2018,16,74,asthma,2
2018,7,73,copd,228
2021,28,10,copd,323
2021,11,13,copd,163
2020,18,73,ihd,18
2022,5,12,asthma,7
2022,52,11,asthma,3
2018,26,73,asthma,87
2020,18,13,ihd,5
2021,3,11,ihd,61
2019,1,12,asthma,12
2021,47,10,asthma,47
2021,21,12,copd,178
2019,43,74,ihd,13
2021,30,13,asthma,13
2022,2,73,asthma,36
2020,28,12,ihd,61
2021,13,10,ihd,83
2019,2,10,copd,820
2019,11,11,asthma,55
2020,46,13,copd,187
2019,21,10,asthma,26
2021,27,74,asthma,7
2020,38,11,ihd,58
2018,27,11,copd,188
2021,18,73,copd,149
2018,9,10,ihd,18
2021,53,11,ihd,8
2019,4,13,asthma,72
2018,20,13,copd,202
2020,31,13,ihd,31
2018,37,10,copd,3
2018,46,11,asthma,53
2019,5,11,copd,176
2018,2,12,ihd,37
2020,48,10,ihd,179
2021,37,73,asthma,3
2019,1,74,asthma,2
2022,22,11,asthma,22
2018,30,12,copd,133
2021,3,73,ihd,41
2021,21,74,copd,89
2022,13,10,copd,101
2018,12,11,ihd,33
2022,32,10,asthma,30
2018,22,10,ihd,9
2018,5,13,ihd,13
2019,11,73,asthma,75
2020,28,74,ihd,2
2022,15,13,asthma,9
2022,6,12,copd,176
2021,48,10,copd,317
2021,53,73,ihd,2
2020,38,73,ihd,58
2022,16,11,copd,187
2021,13,12,ihd,40
2018,27,73,copd,247
2018,36,74,asthma,1
2021,31,13,copd,170
2022,25,12,asthma,34
2018,46,73,asthma,63
2019,5,73,copd,204
2021,50,13,asthma,21
2022,35,11,asthma,33
2020,6,10,asthma,39
2018,2,74,ihd,11
2022,26,10,copd,426
2021,41,12,copd,211
2021,23,11,ihd,42
2022,9,13,copd,22
2021,51,11,copd,217
2019,31,11,asthma,12
2021,33,10,ihd,82
2018,12,73,ihd,34
2022,22,73,asthma,7
2019,22,10,copd,50
2019,5,13,copd,62
2018,30,74,copd,90
2021,16,13,ihd,49
2022,6,74,copd,120
2019,41,10,asthma,34
2019,15,12,copd,183
2020,9,11,asthma,57
2021,26,12,ihd,35
2019,24,13,asthma,35
2021,13,74,ihd,9
2018,22,12,ihd,4
2020,51,13,ihd,34
2019,34,12,asthma,22
2018,40,13,copd,237
2022,25,74,asthma,10
2019,7,10,ihd,168
2019,25,11,copd,201
2022,16,73,copd,185
2018,32,11,ihd,5
2023,1,11,copd,6
2019,35,10,copd,561
2022,35,73,asthma,79
2019,18,13,copd,76
2018,50,12,copd,243
2019,44,11,asthma,67
2021,23,73,ihd,24
2021,41,74,copd,93
2021,51,73,copd,208
2022,26,12,copd,39
2019,31,73,asthma,77
2018,25,13,ihd,32
2022,35,13,asthma,7
2018,42,10,ihd,140
2022,1,13,ihd,56
2021,26,74,ihd,4
2019,15,74,copd,91
2022,18,10,ihd,193
2018,35,12,ihd,27
2020,9,73,asthma,41
2022,45,12,asthma,48
2022,36,11,copd,220
2022,11,12,ihd,59
2018,22,74,ihd,2
2019,34,74,asthma,8
2022,46,10,copd,358
2022,29,13,copd,220
2020,9,13,asthma,2
2019,25,73,copd,275
2019,44,73,asthma,45
2020,19,12,asthma,26
2021,36,13,ihd,14
2018,32,73,ihd,38
2021,4,10,asthma,35
2022,39,12,copd,163
2022,21,11,ihd,68
2022,48,13,asthma,34
2020,10,11,copd,175
2018,50,74,copd,125
2020,29,11,asthma,35
2019,44,13,asthma,16
2022,26,74,copd,16
2021,46,12,ihd,58
2019,35,12,copd,9
2020,20,10,copd,459
2020,3,13,copd,178
2022,45,74,asthma,12
2019,27,10,ihd,146
2019,45,11,copd,225
2020,39,10,asthma,35
2022,36,73,copd,137
2019,10,13,ihd,29
2020,22,13,asthma,18
2020,13,12,copd,234
2018,35,74,ihd,7
2019,38,13,copd,196
2018,3,11,asthma,74
2022,11,74,ihd,10
2019,20,12,ihd,81
2020,5,10,ihd,124
2019,48,12,copd,202
2022,21,73,ihd,21
2022,39,74,copd,91
2020,10,73,copd,228
2020,19,74,asthma,3
2019,30,11,ihd,57
2018,13,10,asthma,13
2018,45,13,ihd,30
2021,46,74,ihd,15
2020,29,73,asthma,33
2019,40,10,ihd,38
2019,35,74,copd,4
2019,45,73,copd,253
2021,5,10,copd,460
2021,14,11,asthma,53
2022,31,12,ihd,89
2022,49,13,copd,113
2020,13,74,copd,118
2019,20,74,ihd,8
2022,41,11,ihd,56
2021,7,13,asthma,23
2021,24,10,asthma,27
2018,3,73,asthma,92
2020,49,11,asthma,37
2019,30,73,ihd,40
2022,51,10,ihd,52
2020,23,13,copd,151
2021,17,12,asthma,47
2021,8,11,copd,166
2022,34,13,ihd,39
2020,5,12,ihd,3
2020,40,10,copd,264
2019,48,74,copd,101
2022,44,12,ihd,19
2020,33,12,copd,230
2020,15,11,ihd,50
2020,42,13,asthma,32
2020,52,12,asthma,3
2021,14,73,asthma,11
2018,14,10,copd,151
2019,40,12,ihd,60
2020,43,11,copd,189
2020,8,13,ihd,35
2022,31,74,ihd,16
2020,25,10,ihd,170
2018,23,11,asthma,60
2018,33,10,asthma,14
2018,16,13,asthma,46
2020,36,13,copd,31
2020,53,10,copd,324
2020,18,12,ihd,60
2022,41,73,ihd,20
2019,50,11,ihd,62
2018,7,12,copd,161
2021,17,74,asthma,5
2020,49,73,asthma,31
2021,8,73,copd,157
2018,26,12,asthma,9
2022,9,10,asthma,29
2019,43,13,ihd,34
2018,17,11,copd,186
2020,33,74,copd,125
2022,2,12,asthma,37
2020,15,73,ihd,31
2022,12,11,asthma,31
2020,43,73,copd,173
2021,44,10,asthma,51
2021,18,12,copd,175
2018,23,73,asthma,66
2019,40,74,ihd,7
2021,27,13,asthma,32
2022,3,10,copd,464
2019,50,73,ihd,47
2021,28,11,copd,135
2022,5,13,asthma,3
2018,7,74,copd,114
2020,18,74,ihd,8
2021,37,12,asthma,2
2021,10,10,ihd,131
2022,22,10,asthma,11
2019,18,10,asthma,28
2018,17,73,copd,157
2021,38,10,copd,26
2018,26,74,asthma,47
2021,3,12,ihd,72
2021,47,11,asthma,25
2019,1,13,asthma,48
2021,21,13,copd,175
2022,2,74,asthma,3
2019,2,11,copd,325
2020,45,10,ihd,181
2019,11,12,asthma,21
2021,13,11,ihd,27
2020,28,13,ihd,27
2022,12,73,asthma,72
2019,12,10,copd,833
2020,38,12,ihd,70
2021,53,12,ihd,8
2018,27,12,copd,186
2019,21,11,asthma,53
2018,36,13,asthma,14
2018,9,11,ihd,18
2021,18,74,copd,82
2019,5,12,copd,214
2018,2,13,ihd,38
2021,37,74,asthma,6
2020,48,11,ihd,53
2021,28,73,copd,160
2022,52,74,asthma,2
2018,46,12,asthma,26
2018,37,11,copd,1
2018,19,10,ihd,31
2019,31,10,asthma,18
2021,47,73,asthma,48
2021,3,74,ihd,15
2018,12,12,ihd,32
2018,30,13,copd,147
2022,22,12,asthma,15
2022,13,11,copd,48
2018,47,10,copd,716
2019,11,74,asthma,5
2022,6,13,copd,131
2018,22,11,ihd,13
2022,32,11,asthma,28
2019,2,73,copd,282
2022,23,10,copd,553
2021,13,73,ihd,8
2019,21,73,asthma,44
2021,48,11,copd,112
2020,38,74,ihd,9
2021,30,10,ihd,1
2022,16,12,copd,179
2021,13,13,ihd,13
2022,25,13,asthma,17
2022,42,10,asthma,59
2018,27,74,copd,113
2018,9,73,ihd,12
2022,35,12,asthma,16
2022,26,11,copd,138
2018,46,74,asthma,9
2018,37,73,copd,7
2019,5,74,copd,108
2021,41,13,copd,139
2021,23,12,ihd,85
2022,8,10,ihd,176
2020,48,73,ihd,49
2020,6,11,asthma,59
2020,16,10,asthma,23
2021,51,12,copd,198
2018,12,74,ihd,15
2019,22,11,copd,17
2022,13,73,copd,35
2019,31,12,asthma,4
2021,33,11,ihd,45
2022,22,74,asthma,7
2022,32,73,asthma,77
2019,41,11,asthma,62
2019,15,13,copd,174
2021,43,10,ihd,226
2019,32,10,copd,680
2021,26,13,ihd,17
2020,9,12,asthma,56
2018,22,73,ihd,15
2019,34,13,asthma,44
2021,48,73,copd,109
2019,51,10,asthma,26
2018,22,13,ihd,9
2019,7,11,ihd,43
2019,25,12,copd,263
2022,16,74,copd,86
2018,32,12,ihd,39
2021,23,74,ihd,7
2019,17,10,ihd,181
2018,50,13,copd,202
2019,44,12,asthma,19
2022,26,73,copd,130
2022,35,74,asthma,4
2020,6,73,asthma,30
2019,35,11,copd,184
2021,33,73,ihd,16
2018,42,11,ihd,58
2019,22,73,copd,23
2022,26,13,copd,39
2019,31,74,asthma,2
2021,51,74,copd,115
2018,35,13,ihd,31
2020,9,74,asthma,13
2021,1,10,asthma,27
2022,45,13,asthma,53
2018,52,10,ihd,133
2019,41,73,asthma,48
2022,18,11,ihd,73
2022,36,12,copd,170
2019,7,73,ihd,175
2019,25,74,copd,147
2022,11,13,ihd,27
2022,46,11,copd,135
2022,28,10,ihd,139
2018,32,74,ihd,9
2019,35,73,copd,146
2020,19,13,asthma,22
2019,44,74,asthma,5
2021,4,11,asthma,43
2020,10,12,copd,285
2022,21,12,ihd,65
2022,39,13,copd,110
2020,36,10,asthma,22
2020,2,10,ihd,167
2020,20,11,copd,188
2019,35,13,copd,6
2021,46,13,ihd,30
2018,42,73,ihd,43
2020,29,12,asthma,37
2019,27,11,ihd,41
2018,10,10,asthma,7
2022,36,74,copd,98
2020,30,10,copd,534
2020,39,11,asthma,53
2020,13,13,copd,227
2019,45,12,copd,218
2022,18,73,ihd,31
2022,46,73,copd,121
2019,37,10,ihd,127
2020,5,11,ihd,41
2019,20,13,ihd,24
2018,3,12,asthma,11
2020,49,10,asthma,10
2018,4,10,copd,182
2020,10,74,copd,109
2021,4,73,asthma,43
2019,48,13,copd,188
2019,30,12,ihd,74
2022,21,74,ihd,9
2018,13,11,asthma,64
2020,20,73,copd,155
2020,29,74,asthma,11
2019,40,11,ihd,6
2019,27,73,ihd,142
2020,39,73,asthma,26
2021,14,12,asthma,40
2022,31,13,ihd,36
2021,5,11,copd,203
2022,48,10,ihd,43
2019,45,74,copd,114
2020,5,73,ihd,44
2021,24,11,asthma,42
2022,41,12,ihd,67
2021,15,10,copd,166
2018,3,74,asthma,2
2019,30,74,ihd,14
2021,8,12,copd,193
2021,17,13,asthma,25
2022,51,11,ihd,12
2020,5,13,ihd,6
2020,49,12,asthma,3
2018,13,73,asthma,8
2020,40,11,copd,83
2021,34,10,asthma,14
2019,40,73,ihd,18
2020,33,13,copd,139
2020,15,12,ihd,53
2020,50,10,copd,440
2022,44,13,ihd,10
2018,13,13,asthma,1
2021,14,74,asthma,6
2020,43,12,copd,68
2020,25,11,ihd,57
2020,52,13,asthma,35
2018,14,11,copd,192
2019,8,10,asthma,39
2021,5,73,copd,187
2018,23,12,asthma,9
2019,40,13,ihd,22
2020,35,10,ihd,218
2018,33,11,asthma,3
2018,7,13,copd,166
2021,24,73,asthma,7
2020,18,13,ihd,28
2020,53,11,copd,101
2019,50,12,ihd,64
2022,41,74,ihd,4
2018,24,10,copd,118
2021,8,74,copd,88
2022,9,11,asthma,22
2018,26,13,asthma,34
2018,43,10,asthma,65
2022,51,73,ihd,7
2018,17,12,copd,168
2020,49,74,asthma,7
2020,40,73,copd,80
2018,9,10,ihd,21
2022,19,10,asthma,35
2020,15,74,ihd,5
2022,2,13,asthma,18
2018,23,74,asthma,35
2020,43,74,copd,96
2022,3,11,copd,216
2021,18,13,copd,126
2018,14,73,copd,158
2021,44,11,asthma,35
2020,25,73,ihd,47
2021,35,10,copd,90
2022,12,12,asthma,25
2019,50,74,ihd,10
2021,28,12,copd,232
2022,52,13,asthma,1
2020,53,73,copd,103
2018,33,73,asthma,30
2021,37,13,asthma,4
2022,22,11,asthma,26
2021,10,11,ihd,47
2022,13,10,copd,417
2022,9,73,asthma,35
2019,9,10,copd,156
2021,47,12,asthma,50
2021,38,11,copd,4
2018,17,74,copd,114
2021,3,13,ihd,46
2021,20,10,ihd,126
2019,18,11,asthma,35
2021,13,12,ihd,21
2019,2,12,copd,269
2020,45,11,ihd,66
2019,28,10,asthma,33
2019,11,13,asthma,28
2021,48,10,copd,182
2022,3,73,copd,174
2018,44,10,copd,299
2019,21,12,asthma,17
2021,53,13,ihd,2
2021,44,73,asthma,38
2022,12,74,asthma,4
2020,38,13,ihd,37
2019,12,11,copd,275
2018,9,12,ihd,5
2018,27,13,copd,195
2019,22,10,copd,640
2019,31,11,asthma,34
2018,37,12,copd,21
2018,46,13,asthma,46
2021,28,74,copd,107
2022,22,73,asthma,33
2020,48,12,ihd,16
2019,5,13,copd,134
2021,10,73,ihd,27
2018,19,11,ihd,31
2018,29,10,ihd,27
2022,39,10,asthma,5
2022,13,12,copd,34
2021,47,74,asthma,3
2018,47,11,copd,205
2018,12,13,ihd,26
2022,22,13,asthma,13
2019,18,73,asthma,24
2021,38,73,copd,12
2019,2,74,copd,160
2021,13,74,ihd,12
2022,23,11,copd,234
2022,5,10,ihd,155
2018,22,12,ihd,20
2022,32,12,asthma,27
2020,45,73,ihd,50
2021,48,12,copd,110
2018,9,74,ihd,3
2019,21,74,asthma,2
2022,33,10,copd,611
2022,42,11,asthma,62
2019,12,73,copd,267
2022,16,13,copd,241
2020,48,74,ihd,12
2022,8,11,ihd,69
2022,35,13,asthma,12
2018,37,74,copd,1
2020,6,12,asthma,38
2019,31,73,asthma,6
2018,19,73,ihd,39
2022,52,10,asthma,2
2022,26,12,copd,107
2021,40,10,ihd,198
2021,23,13,ihd,42
2019,1,11,asthma,4
2019,22,12,copd,20
2020,16,11,asthma,26
2019,31,13,asthma,10
2020,7,10,copd,509
2022,13,74,copd,41
2021,33,12,ihd,45
2018,47,73,copd,306
2021,51,13,copd,188
2020,26,10,asthma,30
2022,32,74,asthma,5
2020,9,13,asthma,32
2019,14,10,ihd,175
2019,32,11,copd,219
2021,43,11,ihd,64
2019,41,12,asthma,21
2018,22,74,ihd,4
2022,23,73,copd,176
2019,51,11,asthma,86
2021,48,74,copd,82
2019,25,13,copd,172
2022,42,73,asthma,66
2019,42,10,copd,538
2019,7,12,ihd,81
2022,26,74,copd,60
2020,6,74,asthma,11
2023,1,13,copd,2
2019,17,11,ihd,38
2019,44,13,asthma,27
2018,49,10,ihd,147
2022,8,73,ihd,37
2019,35,12,copd,214
2018,32,13,ihd,29
2021,33,74,ihd,8
2020,16,73,asthma,25
2018,42,12,ihd,52
2019,22,74,copd,8
2019,1,73,asthma,1
2018,52,11,ihd,52
2022,36,13,copd,116
2022,18,12,ihd,70
2019,41,74,asthma,7
2021,43,73,ihd,38
2021,1,11,asthma,44
2019,32,73,copd,245
2019,51,73,asthma,51
2022,28,11,ihd,50
2022,46,12,copd,127
2021,11,10,asthma,34
2019,7,74,ihd,9
2020,36,11,asthma,35
2022,21,13,ihd,32
2020,10,13,copd,202
2020,27,10,copd,307
2019,35,74,copd,103
2019,17,73,ihd,126
2022,38,10,ihd,169
2021,4,12,asthma,43
2020,2,11,ihd,64
2018,42,74,ihd,13
2020,46,10,asthma,49
2020,20,12,copd,205
2020,29,13,asthma,35
2018,10,11,asthma,57
2018,52,73,ihd,124
2020,12,10,ihd,120
2020,30,11,copd,276
2018,1,10,copd,133
2019,27,12,ihd,58
2019,45,13,copd,186
2020,39,12,asthma,36
2022,18,74,ihd,19
2021,1,73,asthma,42
2020,40,10,copd,333
2020,5,12,ihd,32
2018,3,13,asthma,47
2020,49,11,asthma,18
2018,20,10,asthma,6
2019,37,11,ihd,39
2022,46,74,copd,76
2022,28,73,ihd,22
2018,13,12,asthma,5
2019,30,13,ihd,38
2019,47,10,ihd,134
2018,4,11,copd,200
2020,36,73,asthma,8
2021,4,74,asthma,10
2020,2,73,ihd,51
2019,40,12,ihd,11
2020,20,74,copd,112
2019,27,74,ihd,19
2018,10,73,asthma,9
2021,5,12,copd,237
2020,39,74,asthma,5
2020,30,73,copd,256
2021,31,10,asthma,18
2021,14,13,asthma,34
2022,48,11,ihd,13
2020,5,74,ihd,11
2019,37,73,ihd,40
2021,15,11,copd,89
2020,49,73,asthma,11
2022,41,13,ihd,32
2021,24,12,asthma,50
2022,9,10,asthma,1
2020,40,12,copd,16
2021,8,13,copd,197
2021,25,10,copd,389
2021,34,11,asthma,27
2018,13,74,asthma,3
2018,4,73,copd,295
2019,5,10,asthma,14
2020,49,13,asthma,19
2022,51,12,ihd,29
2020,32,10,ihd,184
2019,40,74,ihd,4
2020,15,13,ihd,23
2020,50,11,copd,143
2019,8,11,asthma,73
2021,5,74,copd,146
2020,25,12,ihd,97
2018,23,13,asthma,50
2018,40,10,asthma,74
2020,43,13,copd,150
2018,14,12,copd,137
2018,33,12,asthma,9
2019,50,13,ihd,31
2021,15,73,copd,52
2019,18,10,asthma,15
2020,53,12,copd,31
2018,24,11,copd,233
2020,35,11,ihd,66
2018,6,10,ihd,44
2021,24,74,asthma,6
2018,34,10,copd,116
2018,17,13,copd,172
2021,34,73,asthma,3
2018,43,11,asthma,67
2020,40,74,copd,71
2022,9,12,asthma,34
2022,51,74,ihd,11
2022,10,10,copd,554
2020,50,73,copd,114
2018,9,11,ihd,11
2022,19,11,asthma,38
2021,17,10,ihd,20
2021,35,11,copd,15
2022,12,13,asthma,16
2022,29,10,asthma,57
2020,25,74,ihd,12
2021,44,12,asthma,60
2019,8,73,asthma,53
2022,3,12,copd,199
2018,14,74,copd,105
2020,35,73,ihd,64
2018,24,73,copd,231
2021,45,10,copd,509
2021,10,12,ihd,90
2022,13,11,copd,110
2022,22,12,asthma,10
2018,33,74,asthma,5
2021,28,13,copd,158
2020,53,74,copd,55
2021,38,12,copd,20
2019,9,11,copd,71
2022,9,74,asthma,1
2021,20,11,ihd,72
2020,3,10,asthma,46
2019,18,12,asthma,12
2018,43,73,asthma,15
2021,47,13,asthma,21
2019,2,13,copd,241
2021,13,13,ihd,26
2020,45,12,ihd,29
2018,9,73,ihd,105
2021,48,11,copd,93
2019,19,10,copd,469
2021,30,10,ihd,69
2022,19,73,asthma,53
2019,28,11,asthma,63
2019,12,12,copd,252
2019,38,10,asthma,35
2018,9,13,ihd,5
2021,35,73,copd,14
2022,3,74,copd,113
2021,44,74,asthma,7
2019,21,13,asthma,35
2018,44,11,copd,90
2022,22,74,asthma,4
2022,13,73,copd,170
2020,48,13,ihd,37
2018,37,13,copd,4
2018,19,12,ihd,35
2019,31,12,asthma,11
2021,10,74,ihd,18
2019,22,11,copd,228
2019,4,10,ihd,203
2019,18,74,asthma,1
2018,29,11,ihd,34
2018,47,12,copd,276
2021,38,74,copd,36
2021,20,73,ihd,22
2022,13,13,copd,37
2022,39,11,asthma,2
2019,9,73,copd,69
2020,45,74,ihd,9
2022,32,13,asthma,25
2019,28,73,asthma,82
2022,5,11,ihd,58
2021,48,73,copd,78
2018,22,13,ihd,12
2022,49,10,asthma,4
2022,23,12,copd,174
2022,33,11,copd,176
2021,48,13,copd,94
2022,15,10,ihd,118
2019,12,74,copd,148
2018,44,73,copd,104
2022,42,12,asthma,37
2021,30,12,ihd,3
2021,40,11,ihd,58
2019,22,73,copd,311
2020,6,13,asthma,59
2020,23,10,asthma,21
2022,52,11,asthma,3
2019,31,74,asthma,2
2018,19,74,ihd,12
2022,26,13,copd,132
2022,43,10,copd,514
2022,8,12,ihd,70
2020,7,11,copd,219
2021,50,10,ihd,211
2018,29,73,ihd,133
2020,16,12,asthma,26
2021,33,13,ihd,31
2019,22,13,copd,15
2019,48,11,asthma,1
2018,47,74,copd,118
2019,32,12,copd,202
2020,17,10,copd,554
2022,23,74,copd,110
2022,5,73,ihd,38
2019,41,13,asthma,42
2021,43,12,ihd,96
2019,14,11,ihd,48
2020,26,11,asthma,53
2020,36,10,asthma,3
2019,7,13,ihd,28
2019,42,11,copd,200
2019,24,10,ihd,148
2021,30,74,ihd,1
2022,42,74,asthma,13
2019,51,12,asthma,13
2022,33,73,copd,216
2022,52,73,asthma,6
2019,17,12,ihd,68
2019,35,13,copd,157
2018,49,11,ihd,50
2019,52,10,copd,716
2022,8,74,ihd,12
2021,40,73,ihd,38
2020,7,73,copd,200
2018,42,13,ihd,24
2020,16,74,asthma,4
2019,48,73,asthma,1
2019,1,74,asthma,1
2022,18,13,ihd,53
2020,26,73,asthma,30
2018,52,12,ihd,57
2021,43,74,ihd,14
2021,1,12,asthma,37
2019,32,74,copd,101
2019,14,73,ihd,147
2022,35,10,ihd,113
2019,42,73,copd,178
2022,46,13,copd,161
2022,28,12,ihd,37
2019,51,74,asthma,7
2021,11,11,asthma,50
2021,2,10,copd,546
2021,21,10,asthma,22
2020,9,10,ihd,17
2022,38,11,ihd,89
2020,36,12,asthma,27
2020,27,11,copd,125
2018,49,73,ihd,114
2021,4,13,asthma,28
2019,17,74,ihd,20
2022,48,10,ihd,77
2020,2,12,ihd,53
2020,37,10,copd,580
2020,20,13,copd,156
2020,46,11,asthma,46
2020,12,11,ihd,52
2018,10,12,asthma,14
2020,30,12,copd,281
2021,1,74,asthma,5
